date_id,full_date,year,quarter,month,month_name,day,day_name
19950805,1995-08-05,1995,3,8,August,5,Saturday
19950901,1995-09-01,1995,3,9,September,1,Friday
19950905,1995-09-05,1995,3,9,September,5,Tuesday
19950923,1995-09-23,1995,3,9,September,23,Saturday
19951001,1995-10-01,1995,4,10,October,1,Sunday
19951010,1995-10-10,1995,4,10,October,10,Tuesday
19951017,1995-10-17,1995,4,10,October,17,Tuesday
19951027,1995-10-27,1995,4,10,October,27,Friday
19951029,1995-10-29,1995,4,10,October,29,Sunday
19951101,1995-11-01,1995,4,11,November,1,Wednesday
19951115,1995-11-15,1995,4,11,November,15,Wednesday
19951130,1995-11-30,1995,4,11,November,30,Thursday
19951201,1995-12-01,1995,4,12,December,1,Friday
19951212,1995-12-12,1995,4,12,December,12,Tuesday
19951220,1995-12-20,1995,4,12,December,20,Wednesday
19960101,1996-01-01,1996,1,1,January,1,Monday
19960108,1996-01-08,1996,1,1,January,8,Monday
19960110,1996-01-10,1996,1,1,January,10,Wednesday
19960112,1996-01-12,1996,1,1,January,12,Friday
19960131,1996-01-31,1996,1,1,January,31,Wednesday
19960201,1996-02-01,1996,1,2,February,1,Thursday
19960206,1996-02-06,1996,1,2,February,6,Tuesday
19960212,1996-02-12,1996,1,2,February,12,Monday
19960215,1996-02-15,1996,1,2,February,15,Thursday
19960216,1996-02-16,1996,1,2,February,16,Friday
19960220,1996-02-20,1996,1,2,February,20,Tuesday
19960228,1996-02-28,1996,1,2,February,28,Wednesday
19960301,1996-03-01,1996,1,3,March,1,Friday
19960306,1996-03-06,1996,1,3,March,6,Wednesday
19960401,1996-04-01,1996,2,4,April,1,Monday
19960416,1996-04-16,1996,2,4,April,16,Tuesday
19960501,1996-05-01,1996,2,5,May,1,Wednesday
19960510,1996-05-10,1996,2,5,May,10,Friday
19960528,1996-05-28,1996,2,5,May,28,Tuesday
19960529,1996-05-29,1996,2,5,May,29,Wednesday
19960531,1996-05-31,1996,2,5,May,31,Friday
19960601,1996-06-01,1996,2,6,June,1,Saturday
19960610,1996-06-10,1996,2,6,June,10,Monday
19960621,1996-06-21,1996,2,6,June,21,Friday
19960625,1996-06-25,1996,2,6,June,25,Tuesday
19960628,1996-06-28,1996,2,6,June,28,Friday
19960701,1996-07-01,1996,3,7,July,1,Monday
19960717,1996-07-17,1996,3,7,July,17,Wednesday
19960722,1996-07-22,1996,3,7,July,22,Monday
19960726,1996-07-26,1996,3,7,July,26,Friday
19960801,1996-08-01,1996,3,8,August,1,Thursday
19960822,1996-08-22,1996,3,8,August,22,Thursday
19960901,1996-09-01,1996,3,9,September,1,Sunday
19960906,1996-09-06,1996,3,9,September,6,Friday
19960917,1996-09-17,1996,3,9,September,17,Tuesday
19961001,1996-10-01,1996,4,10,October,1,Tuesday
19961005,1996-10-05,1996,4,10,October,5,Saturday
19961009,1996-10-09,1996,4,10,October,9,Wednesday
19961016,1996-10-16,1996,4,10,October,16,Wednesday
19961101,1996-11-01,1996,4,11,November,1,Friday
19961116,1996-11-16,1996,4,11,November,16,Saturday
19961201,1996-12-01,1996,4,12,December,1,Sunday
19961205,1996-12-05,1996,4,12,December,5,Thursday
19961208,1996-12-08,1996,4,12,December,8,Sunday
19961210,1996-12-10,1996,4,12,December,10,Tuesday
19961217,1996-12-17,1996,4,12,December,17,Tuesday
19961231,1996-12-31,1996,4,12,December,31,Tuesday
19970101,1997-01-01,1997,1,1,January,1,Wednesday
19970117,1997-01-17,1997,1,1,January,17,Friday
19970201,1997-02-01,1997,1,2,February,1,Saturday
19970202,1997-02-02,1997,1,2,February,2,Sunday
19970207,1997-02-07,1997,1,2,February,7,Friday
19970228,1997-02-28,1997,1,2,February,28,Friday
19970301,1997-03-01,1997,1,3,March,1,Saturday
19970307,1997-03-07,1997,1,3,March,7,Friday
19970310,1997-03-10,1997,1,3,March,10,Monday
19970315,1997-03-15,1997,1,3,March,15,Saturday
19970324,1997-03-24,1997,1,3,March,24,Monday
