startup_id,cluster,log_funding,funding_rounds,years_since_founded,num_round_types_used,category_count
880,0,9.90353755128617,1,3.8,1,7.0
881,2,15.226497531674536,1,3.0,1,1.0
882,3,13.710101152222459,1,2.7,1,1.0
884,2,16.39950826133989,2,8.0,3,1.0
885,2,14.827111833279051,1,8.6,1,1.0
887,1,13.102162710901053,3,8.1,4,2.0
888,2,13.429849547739444,2,8.0,2,3.0
889,2,15.506152349804847,1,30.0,1,1.0
890,2,16.118095750958314,2,9.0,3,1.0
894,2,14.603968372873895,2,4.0,2,1.0
895,2,15.05966544010744,1,26.0,1,1.0
896,2,15.268494172612845,2,8.0,1,1.0
898,2,14.731801689838349,2,4.0,3,3.0
900,0,14.914123179965662,2,5.9,2,4.0
901,0,15.617386350868586,1,6.0,1,4.0
902,2,13.217675375388819,2,6.0,2,1.0
904,3,11.918397239722838,1,9.0,1,1.0
906,2,14.508658238524095,1,10.0,1,3.0
907,3,12.398761113062513,1,4.0,1,1.0
908,1,16.29034203994063,4,4.0,3,2.0
909,2,14.797736959509285,2,3.0,2,1.0
910,2,17.63102268503801,1,39.0,1,2.0
911,3,12.99362960065128,1,13.0,1,1.0
912,2,18.26985786584569,2,14.0,1,1.0
914,2,14.221190309701512,1,17.0,1,1.0
916,2,14.914123179965662,1,6.0,1,2.0
917,0,16.963963961454382,4,7.0,1,9.0
919,1,18.34811006187022,3,20.0,4,1.0
920,2,14.603968372873895,2,19.0,2,1.0
921,2,16.71142255148467,2,21.0,1,1.0
923,1,16.172915410053594,3,5.7,4,5.0
924,2,15.607270193858982,3,3.4,2,1.0
926,2,16.118095750958314,2,22.0,2,1.0
928,2,14.508658238524095,1,8.0,1,1.0
929,1,17.961442400522486,5,4.0,3,1.0
930,2,15.671808704579888,2,6.0,2,1.0
932,2,14.508658238524095,2,2.4,2,1.0
933,1,16.68340951682656,3,9.2,4,2.0
934,3,10.819798284210286,1,4.8,1,3.0
935,2,15.330637790927133,2,5.0,2,1.0
936,3,12.07254696717504,2,1.2,2,3.0
937,3,11.505246053626358,1,1.1,1,2.0
